scientific_name,park_name,observations
Vicia benghalensis,Great Smoky Mountains National Park,68
Neovison vison,Great Smoky Mountains National Park,77
Githopsis specularioides,Great Smoky Mountains National Park,85
Elymus multisetus,Great Smoky Mountains National Park,39
Fabronia ciliaris,Great Smoky Mountains National Park,72
Lunaria annua,Great Smoky Mountains National Park,65
Scirpus cyperinus,Great Smoky Mountains National Park,73
Festuca filiformis,Great Smoky Mountains National Park,79
Portulaca oleracea,Great Smoky Mountains National Park,76
Elaeagnus umbellata,Great Smoky Mountains National Park,85
Silene parryi,Great Smoky Mountains National Park,68
Platycladus orientalis,Great Smoky Mountains National Park,25
Salix humilis var. humilis,Great Smoky Mountains National Park,64
Penstemon procerus,Great Smoky Mountains National Park,67
Sparganium emersum ssp. emersum,Great Smoky Mountains National Park,80
Polygonum viviparum,Great Smoky Mountains National Park,107
Odocoileus virginianus,Great Smoky Mountains National Park,36
Thamnophis sirtalis sirtalis,Great Smoky Mountains National Park,63
Hypentelium nigricans,Great Smoky Mountains National Park,54
Platanus occidentalis,Great Smoky Mountains National Park,98
Arenaria congesta var. subcongesta,Great Smoky Mountains National Park,90
Carex backii,Great Smoky Mountains National Park,58
Sambucus racemosa var. racemosa,Great Smoky Mountains National Park,77
Sphagnum subsecundum,Great Smoky Mountains National Park,73
Rumex obtusifolius,Great Smoky Mountains National Park,27
Clarkia rhomboidea,Great Smoky Mountains National Park,92
Berberis canadensis,Great Smoky Mountains National Park,74
Melanerpes erythrocephalus,Great Smoky Mountains National Park,84
Atrichum oerstedianum,Great Smoky Mountains National Park,74
Prosartes maculatum,Great Smoky Mountains National Park,105
Malus angustifolia,Great Smoky Mountains National Park,71
Oxytropis parryi,Great Smoky Mountains National Park,66
Rumex paucifolius,Great Smoky Mountains National Park,86
Malus coronaria,Great Smoky Mountains National Park,75
Secale cereale,Great Smoky Mountains National Park,82
Pellaea breweri,Great Smoky Mountains National Park,73
Stizostedion vitreum,Great Smoky Mountains National Park,108
Heterocladium macounii,Great Smoky Mountains National Park,110
Saponaria officinalis,Great Smoky Mountains National Park,79
Gratiola viscidula,Great Smoky Mountains National Park,107
Opuntia fragilis,Great Smoky Mountains National Park,57
Doellingeria infirma,Great Smoky Mountains National Park,68
Sialia sialis,Great Smoky Mountains National Park,69
Sedum sarmentosum,Great Smoky Mountains National Park,56
Geranium dissectum,Great Smoky Mountains National Park,119
Sphenopholis pensylvanica,Great Smoky Mountains National Park,49
Senecio streptanthifolius,Great Smoky Mountains National Park,69
Astragalus alpinus,Great Smoky Mountains National Park,82
Crataegus uniflora,Great Smoky Mountains National Park,91
Collomia heterophylla,Great Smoky Mountains National Park,49
Uvularia perfoliata,Great Smoky Mountains National Park,79
Nycticorax nycticorax,Great Smoky Mountains National Park,64
Eriogonum umbellatum var. nevadense,Great Smoky Mountains National Park,63
