category,scientific_name,common_names,conservation_status,lifespan_years,mass_kg
Mammal,Clethrionomys gapperi gapperi,Gapper's Red-Backed Vole,In Recovery,25.7,3.306
Mammal,Bos bison,"American Bison, Bison",,29.5,127.825
Mammal,Bos taurus,"Aurochs, Aurochs, Domestic Cattle (Feral), Domesticated Cattle",Species of Concern,13.3,2.678
Mammal,Ovis aries,"Domestic Sheep, Mouflon, Red Sheep, Sheep (Feral)",Species of Concern,68.1,24.249
Mammal,Cervus elaphus,Wapiti Or Elk,,10.8,14.785
Mammal,Odocoileus virginianus,White-Tailed Deer,Threatened,10.8,1.609
Mammal,Sus scrofa,"Feral Hog, Wild Pig",In Recovery,20.4,0.067
Mammal,Canis latrans,Coyote,Species of Concern,3.5,1.301
Mammal,Canis lupus,Gray Wolf,Endangered,6.6,8.947
Mammal,Canis rufus,Red Wolf,Endangered,7.3,0.2
Mammal,Urocyon cinereoargenteus,"Common Gray Fox, Gray Fox",,61.5,2.727
Mammal,Vulpes fulva,"Black Fox, Cross Fox, Red Fox, Silver Fox",Species of Concern,17.5,0.195
Mammal,Vulpes vulpes,Red Fox,Species of Concern,10.1,5.72
Mammal,Felis concolor,Mountain Lion,Endangered,5.8,10.242
Mammal,Felis silvestris,"Wild Cat, Wildcat",Endangered,9.6,2.359
Mammal,Lynx rufus,Bobcat,Species of Concern,9.6,263.753
Mammal,Puma concolor,Panther (Mountain Lion),Endangered,16.2,0.437
Mammal,Mephitis mephitis,Striped Skunk,,34.5,0.305
Mammal,Spilogale putorius,Eastern Spotted Skunk,Endangered,19.8,0.06
Mammal,Lontra canadensis,River Otter,Species of Concern,5.0,6.911
Mammal,Lutra canadensis,Northern River Otter,Species of Concern,32.0,6.534
Mammal,Martes pennanti,Fisher,In Recovery,14.8,2.311
Mammal,Mustela,Mink (Or Weasel),,4.3,0.92
Mammal,Mustela frenata,Long-Tailed Weasel,,10.9,45.863
Mammal,Mustela nivalis,Least Weasel,Species of Concern,22.4,0.093
Mammal,Mustela vison,Mink,,22.0,1.921
Mammal,Procyon lotor,"Common Raccoon, Raccoon",Species of Concern,8.9,17.213
Mammal,Ursus americanus,Black Bear,Species of Concern,41.6,34.772
Mammal,Corynorhinus rafinesquii,Rafinesque's Big-Eared Bat,,7.7,2.27
Mammal,Eptesicus fuscus,Big Brown Bat,Species of Concern,22.2,38.329
Mammal,Lasionycteris noctivagans,Silver-Haired Bat,Species of Concern,10.7,2.979
Mammal,Lasiurus borealis,"Eastern Red Bat, Red Bat",Threatened,6.1,0.322
Mammal,Lasiurus cinereus,Hoary Bat,Endangered,34.2,88.564
Mammal,Myotis austroriparius,"Mississippi Myotis, Southeastern Myotis",Species of Concern,15.4,40.763
Mammal,Myotis grisescens,Gray Myotis,Endangered,22.8,1.084
Mammal,Myotis keenii,Keen's Myotis,Species of Concern,22.8,132.116
Mammal,Myotis leibii,"Eastern Small-Footed Bat, Eastern Small-Footed Myotis",Species of Concern,15.9,140.08
Mammal,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis",Species of Concern,1.6,27.335
Mammal,Myotis septentrionalis,"Northern Long-Eared Bat, Northern Myotis",Threatened,17.8,2.321
Mammal,Myotis sodalis,"Indiana Bat, Indiana Or Social Myotis",Endangered,17.9,0.057
Mammal,Nycticeius humeralis,Evening Bat,Species of Concern,13.5,9.832
Mammal,Pipistrellus subflavus,Eastern Pipistrelle,,62.2,1.433
Mammal,Didelphis virginiana,"Virginia Opossum, Virginia Oppossum",,7.9,1.486
Mammal,Lepus americanus,Snowshoe Hare,,37.5,9.237
Mammal,Sylvilagus floridanus,Eastern Cottontail,,10.2,13.863
Mammal,Sylvilagus obscurus,Appalachian Cottontail,In Recovery,17.9,37.751
Mammal,Sylvilagus transitionalis,New England Cottontail,Species of Concern,8.7,2.18
Mammal,Equus caballus,"Feral Horse, Horse",Species of Concern,11.6,0.179
Mammal,Homo sapiens,"Human, Humans, Man",Species of Concern,21.5,7.959
Mammal,Castor canadensis,"American Beaver, Beaver",,16.5,2.675
Mammal,Clethrionomys gapperi,Southern Red-Backed Vole,Species of Concern,4.6,1.776
Mammal,Microtus chrotorrhinus,"Rock Vole, Southern Rock Vole",Species of Concern,12.1,0.767
Mammal,Microtus pennsylvanicus,Meadow Vole,,14.2,10.902
Mammal,Microtus pinetorum,Woodland Vole,In Recovery,89.8,6.58
Mammal,Neotoma floridana,Eastern Woodrat,,20.7,3.805
Mammal,Neotoma magister,"Allegheny Woodrat, Appalachian Woodrat",Species of Concern,2.9,4.228
Mammal,Ochrotomys nuttalli,Golden Mouse,,17.4,1011.442
Mammal,Ondatra zibethicus,Muskrat,,13.8,8.701
Mammal,Oryzomys palustris,Marsh Rice Rat,,15.9,0.343
Mammal,Oryzomys palustris palustris,Marsh Rice Rat,,46.0,23.436
Mammal,Peromyscus gossypinus,Cotton Mouse,Endangered,33.5,0.606
Mammal,Peromyscus leucopus,White-Footed Mouse,Threatened,58.1,0.205
Mammal,Peromyscus maniculatus,Deer Mouse,Species of Concern,27.9,555.019
Mammal,Reithrodontomys humulis,Eastern Harvest Mouse,Species of Concern,6.7,1.289
Mammal,Synaptomys cooperi,Southern Bog Lemming,Threatened,18.0,1.48
Mammal,Synaptomys cooperi stonei,Stone's Southern Bog Lemming,Threatened,4.1,5.211
Mammal,Napaeozapus insignis,Woodland Jumping Mouse,Species of Concern,6.3,12.704
Mammal,Zapus hudsonius,Meadow Jumping Mouse,,7.2,135.62
Mammal,Erethizon dorsatum,"Common Porcupine, Porcupine",,8.1,2.207
Mammal,Mus musculus,House Mouse,Threatened,34.2,0.299
Mammal,Rattus norvegicus,Norway Rat,Endangered,20.2,79.497
Mammal,Rattus rattus,Black Rat,Species of Concern,3.9,6.727
Mammal,Glaucomys sabrinus coloratus,"Carolina Northern Flying Squirrel, Northern Flying Squirrel",Endangered,20.8,25.028
Mammal,Glaucomys volans,Southern Flying Squirrel,Species of Concern,5.4,0.245
Mammal,Marmota monax,Woodchuck,Species of Concern,26.3,8.614
